Breed,Age (Years),Weight (kg),Color,Gender,breed_key,rank_recent,rank_mean,rank_missing_share,Gender_bin,size_class,age_bin
Great Dane,11,21,Gray,Male,dane great,15.0,15.25,0.0,0,medium,senior
Shih Tzu,10,23,Merle,Female,shih tzu,20.0,18.875,0.0,1,medium,senior
Vizsla,4,51,Brindle,Female,vizsla,35.0,32.625,0.0,1,giant,adult
Jack Russell Terrier,9,19,Sable,Male,jack russell terrier,,,,0,medium,senior
Bull Terrier,8,28,Blue,Female,bull terrier,64.0,58.125,0.0,1,large,senior
Whippet,14,51,Brown,Female,whippet,59.0,58.875,0.0,1,giant,senior
Bulldog,8,57,Merle,Female,bulldog,5.0,4.625,0.0,1,giant,senior
Irish Setter,14,40,Sable,Female,irish setter,75.0,74.625,0.0,1,large,senior
Siberian Husky,9,53,Black and White,Male,husky siberian,16.0,13.5,0.0,0,giant,senior
Vizsla,2,35,White,Male,vizsla,35.0,32.625,0.0,0,large,adult
Lhasa Apso,10,8,Tan,Female,apso lhasa,78.0,71.375,0.0,1,small,senior
Bulldog,9,15,White,Male,bulldog,5.0,4.625,0.0,0,medium,senior
Belgian Malinois,10,37,Spotted,Female,belgian malinoi,37.0,47.875,0.0,1,large,senior
Weimaraner,1,26,Black and White,Male,weimaraner,39.0,35.5,0.0,0,large,puppy
Pug,13,46,Black and Tan,Female,pug,29.0,31.0,0.0,1,giant,senior
Miniature Schnauzer,12,51,Bicolor,Male,miniature schnauzer,19.0,17.5,0.0,0,giant,senior
Vizsla,8,38,Black and Tan,Female,vizsla,35.0,32.625,0.0,1,large,senior
Cavalier King Charles Spaniel,8,23,Tan,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,medium,senior
Dogo Argentino,7,38,Blue,Male,argentino dogo,93.0,93.0,0.875,0,large,adult
Irish Setter,6,56,Blue,Female,irish setter,75.0,74.625,0.0,1,giant,adult
Saint Bernard,9,17,Red,Female,bernard saint,,,,1,medium,senior
Lhasa Apso,6,57,Merle,Female,apso lhasa,78.0,71.375,0.0,1,giant,adult
Labrador Retriever,12,7,Gray,Female,labrador retriever,1.0,1.0,0.0,1,small,senior
Rottweiler,12,30,Red,Male,rottweiler,8.0,8.5,0.0,0,large,senior
Boxer,5,47,Sable,Female,boxer,14.0,10.625,0.0,1,giant,adult
Whippet,1,35,Bicolor,Male,whippet,59.0,58.875,0.0,0,large,puppy
Chesapeake Bay Retriever,10,56,White,Female,bay chesapeake retriever,50.0,44.125,0.0,1,giant,senior
Lhasa Apso,2,33,Tan,Male,apso lhasa,78.0,71.375,0.0,0,large,adult
Rottweiler,9,46,Black,Female,rottweiler,8.0,8.5,0.0,1,giant,senior
Siberian Husky,1,22,Black,Female,husky siberian,16.0,13.5,0.0,1,medium,puppy
Beagle,4,19,Black and Tan,Male,beagle,7.0,5.625,0.0,0,medium,adult
Chinese Shar-Pei,8,18,Sable,Male,chinese pei shar,61.0,60.875,0.0,0,medium,senior
Weimaraner,4,38,Tan,Male,weimaraner,39.0,35.5,0.0,0,large,adult
Saint Bernard,8,27,Sable,Female,bernard saint,,,,1,large,senior
Bloodhound,6,57,Blue,Male,bloodhound,46.0,49.375,0.0,0,giant,adult
Weimaraner,11,29,Sable,Male,weimaraner,39.0,35.5,0.0,0,large,senior
Cavalier King Charles Spaniel,4,35,Black and Tan,Female,cavalier charle king spaniel,17.0,18.0,0.0,1,large,adult
Whippet,9,15,Tan,Female,whippet,59.0,58.875,0.0,1,medium,senior
Cocker Spaniel,11,8,Bicolor,Male,cocker spaniel,30.0,29.375,0.0,0,small,senior
Bloodhound,4,36,White,Male,bloodhound,46.0,49.375,0.0,0,large,adult
Airedale Terrier,2,54,Gray,Male,airedale terrier,62.0,57.375,0.0,0,giant,adult
Saint Bernard,4,37,Merle,Female,bernard saint,,,,1,large,adult
Chihuahua,12,18,Cream,Male,chihuahua,34.0,29.75,0.0,0,medium,senior
Pekingese,4,54,Cream,Female,pekingese,95.0,86.375,0.0,1,giant,adult
Chinese Shar-Pei,12,44,Cream,Male,chinese pei shar,61.0,60.875,0.0,0,large,senior
Doberman Pinscher,13,5,White,Female,doberman pinscher,18.0,15.625,0.0,1,small,senior
French Bulldog,1,51,Tricolor,Female,bulldog french,2.0,5.75,0.0,1,giant,puppy
Pekingese,8,29,White,Male,pekingese,95.0,86.375,0.0,0,large,senior
Bichon Frise,3,25,Blue,Male,bichon frise,45.0,44.125,0.0,0,large,adult
French Bulldog,1,48,Red,Male,bulldog french,2.0,5.75,0.0,0,giant,puppy
Chesapeake Bay Retriever,7,46,Black and White,Male,bay chesapeake retriever,50.0,44.125,0.0,0,giant,adult
Dogo Argentino,7,31,Black,Female,argentino dogo,93.0,93.0,0.875,1,large,adult
Chinese Shar-Pei,8,32,Cream,Female,chinese pei shar,61.0,60.875,0.0,1,large,senior
Bichon Frise,8,28,Cream,Male,bichon frise,45.0,44.125,0.0,0,large,senior
Weimaraner,12,31,Sable,Female,weimaraner,39.0,35.5,0.0,1,large,senior
Shetland Sheepdog,2,14,Black and White,Female,sheepdog shetland,27.0,23.75,0.0,1,medium,adult
Bull Terrier,3,38,Bicolor,Female,bull terrier,64.0,58.125,0.0,1,large,adult
West Highland White Terrier,14,31,Bicolor,Female,highland terrier west white,44.0,41.0,0.0,1,large,senior
Dachshund,9,46,Tan,Male,dachshund,10.0,11.625,0.0,0,giant,senior
Pekingese,6,52,Bicolor,Male,pekingese,95.0,86.375,0.0,0,giant,adult
Rottweiler,2,36,Tan,Male,rottweiler,8.0,8.5,0.0,0,large,adult
Pekingese,8,45,Spotted,Male,pekingese,95.0,86.375,0.0,0,giant,senior
Maltese,4,36,Bicolor,Female,maltese,38.0,33.0,0.0,1,large,adult
Whippet,2,13,Blue,Male,whippet,59.0,58.875,0.0,0,medium,adult
Pug,7,54,Brown,Female,pug,29.0,31.0,0.0,1,giant,adult
Labrador Retriever,9,41,Sable,Male,labrador retriever,1.0,1.0,0.0,0,large,senior
Weimaraner,3,22,Blue,Female,weimaraner,39.0,35.5,0.0,1,medium,adult
Akita,8,35,Bicolor,Female,akita,48.0,46.5,0.0,1,large,senior
Shih Tzu,9,6,White,Female,shih tzu,20.0,18.875,0.0,1,small,senior
German Shepherd,10,34,Tan,Female,german shepherd,3.0,2.125,0.0,1,large,senior
Golden Retriever,7,58,Gray,Female,golden retriever,4.0,3.125,0.0,1,giant,adult
Golden Retriever,10,21,Gray,Female,golden retriever,4.0,3.125,0.0,1,medium,senior
Cocker Spaniel,9,25,Black and Tan,Male,cocker spaniel,30.0,29.375,0.0,0,large,senior
Papillon,14,13,Tan,Male,papillon,53.0,49.375,0.0,0,medium,senior
Siberian Husky,6,41,Tan,Male,husky siberian,16.0,13.5,0.0,0,large,adult
Cavalier King Charles Spaniel,1,34,Tan,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,large,puppy
Bull Terrier,1,48,Gray,Male,bull terrier,64.0,58.125,0.0,0,giant,puppy
Shetland Sheepdog,10,49,Red,Female,sheepdog shetland,27.0,23.75,0.0,1,giant,senior
Shih Tzu,5,20,Spotted,Male,shih tzu,20.0,18.875,0.0,0,medium,adult
Rottweiler,7,18,Tricolor,Male,rottweiler,8.0,8.5,0.0,0,medium,adult
Border Collie,1,30,Merle,Male,border collie,,,,0,large,puppy
Chinese Shar-Pei,12,42,Bicolor,Male,chinese pei shar,61.0,60.875,0.0,0,large,senior
Siberian Husky,10,21,Tan,Female,husky siberian,16.0,13.5,0.0,1,medium,senior
Rottweiler,5,55,Brown,Male,rottweiler,8.0,8.5,0.0,0,giant,adult
Labrador Retriever,3,16,Black and White,Female,labrador retriever,1.0,1.0,0.0,1,medium,adult
German Shepherd,13,51,White,Male,german shepherd,3.0,2.125,0.0,0,giant,senior
Weimaraner,3,7,Brown,Female,weimaraner,39.0,35.5,0.0,1,small,adult
Dachshund,5,38,Tan,Female,dachshund,10.0,11.625,0.0,1,large,adult
West Highland White Terrier,8,33,Merle,Female,highland terrier west white,44.0,41.0,0.0,1,large,senior
Shiba Inu,2,31,Spotted,Male,inu shiba,43.0,44.875,0.0,0,large,adult
Great Dane,12,46,Brown,Male,dane great,15.0,15.25,0.0,0,giant,senior
Golden Retriever,10,6,Black and White,Male,golden retriever,4.0,3.125,0.0,0,small,senior
Great Dane,13,31,Cream,Female,dane great,15.0,15.25,0.0,1,large,senior
German Shepherd,7,13,Brindle,Female,german shepherd,3.0,2.125,0.0,1,medium,adult
Shih Tzu,5,24,Spotted,Female,shih tzu,20.0,18.875,0.0,1,medium,adult
Cocker Spaniel,7,32,Tricolor,Female,cocker spaniel,30.0,29.375,0.0,1,large,adult
Jack Russell Terrier,11,40,Red,Female,jack russell terrier,,,,1,large,senior
Doberman Pinscher,9,27,Black and White,Female,doberman pinscher,18.0,15.625,0.0,1,large,senior
Weimaraner,7,30,Tricolor,Female,weimaraner,39.0,35.5,0.0,1,large,adult
Rottweiler,10,29,Cream,Male,rottweiler,8.0,8.5,0.0,0,large,senior
Dogo Argentino,3,49,Red,Female,argentino dogo,93.0,93.0,0.875,1,giant,adult
Beagle,8,25,Tricolor,Female,beagle,7.0,5.625,0.0,1,large,senior
Boxer,13,41,Black and Tan,Male,boxer,14.0,10.625,0.0,0,large,senior
Australian Shepherd,5,58,White,Female,australian shepherd,12.0,16.0,0.0,1,giant,adult
Miniature Schnauzer,1,29,Sable,Male,miniature schnauzer,19.0,17.5,0.0,0,large,puppy
Pekingese,2,35,Merle,Female,pekingese,95.0,86.375,0.0,1,large,adult
Dogo Argentino,7,17,Brown,Male,argentino dogo,93.0,93.0,0.875,0,medium,adult
West Highland White Terrier,5,57,Black and Tan,Male,highland terrier west white,44.0,41.0,0.0,0,giant,adult
Miniature Schnauzer,12,47,Spotted,Male,miniature schnauzer,19.0,17.5,0.0,0,giant,senior
Golden Retriever,1,33,Tan,Female,golden retriever,4.0,3.125,0.0,1,large,puppy
Pekingese,1,55,Blue,Male,pekingese,95.0,86.375,0.0,0,giant,puppy
Doberman Pinscher,3,9,Sable,Female,doberman pinscher,18.0,15.625,0.0,1,small,adult
Saint Bernard,11,6,White,Female,bernard saint,,,,1,small,senior
Cocker Spaniel,11,10,Red,Female,cocker spaniel,30.0,29.375,0.0,1,small,senior
Pug,8,49,Brown,Male,pug,29.0,31.0,0.0,0,giant,senior
Havanese,7,26,Bicolor,Female,havanese,24.0,23.75,0.0,1,large,adult
Siberian Husky,7,54,Brown,Female,husky siberian,16.0,13.5,0.0,1,giant,adult
Saint Bernard,13,29,Red,Female,bernard saint,,,,1,large,senior
Samoyed,8,13,Black and Tan,Female,samoyed,56.0,61.5,0.0,1,medium,senior
Golden Retriever,14,49,Blue,Female,golden retriever,4.0,3.125,0.0,1,giant,senior
Boston Terrier,8,53,Black,Male,boston terrier,21.0,21.625,0.0,0,giant,senior
French Bulldog,1,35,Tan,Female,bulldog french,2.0,5.75,0.0,1,large,puppy
Doberman Pinscher,10,37,Bicolor,Female,doberman pinscher,18.0,15.625,0.0,1,large,senior
Airedale Terrier,12,26,Tricolor,Male,airedale terrier,62.0,57.375,0.0,0,large,senior
Bloodhound,13,8,Black and White,Male,bloodhound,46.0,49.375,0.0,0,small,senior
West Highland White Terrier,5,58,Merle,Male,highland terrier west white,44.0,41.0,0.0,0,giant,adult
Dachshund,2,25,Sable,Male,dachshund,10.0,11.625,0.0,0,large,adult
Vizsla,5,22,Spotted,Female,vizsla,35.0,32.625,0.0,1,medium,adult
West Highland White Terrier,10,22,Bicolor,Female,highland terrier west white,44.0,41.0,0.0,1,medium,senior
Basenji,6,16,Spotted,Male,basenji,86.0,86.375,0.0,0,medium,adult
Jack Russell Terrier,10,23,Cream,Female,jack russell terrier,,,,1,medium,senior
Bichon Frise,1,40,Cream,Male,bichon frise,45.0,44.125,0.0,0,large,puppy
Bulldog,7,26,Bicolor,Female,bulldog,5.0,4.625,0.0,1,large,adult
Chinese Shar-Pei,5,50,Red,Female,chinese pei shar,61.0,60.875,0.0,1,giant,adult
Pomeranian,5,48,Bicolor,Female,pomeranian,23.0,21.75,0.0,1,giant,adult
Vizsla,12,39,Gray,Male,vizsla,35.0,32.625,0.0,0,large,senior
Saint Bernard,2,56,Merle,Female,bernard saint,,,,1,giant,adult
Cavalier King Charles Spaniel,12,38,Tricolor,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,large,senior
Rottweiler,8,14,Gray,Male,rottweiler,8.0,8.5,0.0,0,medium,senior
Maltese,14,32,Tan,Female,maltese,38.0,33.0,0.0,1,large,senior
Maltese,12,28,Blue,Male,maltese,38.0,33.0,0.0,0,large,senior
Jack Russell Terrier,14,46,Bicolor,Male,jack russell terrier,,,,0,giant,senior
Australian Shepherd,12,56,Red,Male,australian shepherd,12.0,16.0,0.0,0,giant,senior
Dachshund,11,41,Tricolor,Female,dachshund,10.0,11.625,0.0,1,large,senior
Cocker Spaniel,1,53,Merle,Female,cocker spaniel,30.0,29.375,0.0,1,giant,puppy
Shih Tzu,2,38,Brown,Male,shih tzu,20.0,18.875,0.0,0,large,adult
Bull Terrier,13,16,Bicolor,Female,bull terrier,64.0,58.125,0.0,1,medium,senior
Vizsla,3,50,Blue,Male,vizsla,35.0,32.625,0.0,0,giant,adult
Bull Terrier,11,13,Merle,Female,bull terrier,64.0,58.125,0.0,1,medium,senior
Miniature Schnauzer,11,48,White,Male,miniature schnauzer,19.0,17.5,0.0,0,giant,senior
Rottweiler,13,51,Brown,Female,rottweiler,8.0,8.5,0.0,1,giant,senior
Maltese,11,34,Bicolor,Female,maltese,38.0,33.0,0.0,1,large,senior
Shiba Inu,11,38,Brindle,Male,inu shiba,43.0,44.875,0.0,0,large,senior
Airedale Terrier,13,52,Tan,Female,airedale terrier,62.0,57.375,0.0,1,giant,senior
Bull Terrier,9,19,Bicolor,Female,bull terrier,64.0,58.125,0.0,1,medium,senior
Papillon,8,35,White,Female,papillon,53.0,49.375,0.0,1,large,senior
Basenji,14,51,Black and White,Female,basenji,86.0,86.375,0.0,1,giant,senior
Jack Russell Terrier,11,36,Cream,Female,jack russell terrier,,,,1,large,senior
Papillon,10,28,Bicolor,Male,papillon,53.0,49.375,0.0,0,large,senior
Weimaraner,9,48,Sable,Female,weimaraner,39.0,35.5,0.0,1,giant,senior
West Highland White Terrier,13,26,Black and Tan,Female,highland terrier west white,44.0,41.0,0.0,1,large,senior
Pug,1,7,Sable,Male,pug,29.0,31.0,0.0,0,small,puppy
Papillon,1,31,White,Female,papillon,53.0,49.375,0.0,1,large,puppy
Border Collie,12,41,Blue,Female,border collie,,,,1,large,senior
Basenji,13,51,Brindle,Female,basenji,86.0,86.375,0.0,1,giant,senior
Pug,1,14,Merle,Male,pug,29.0,31.0,0.0,0,medium,puppy
Irish Setter,13,6,Tricolor,Female,irish setter,75.0,74.625,0.0,1,small,senior
Shiba Inu,14,8,Black and White,Male,inu shiba,43.0,44.875,0.0,0,small,senior
Cavalier King Charles Spaniel,3,22,Tan,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,medium,adult
Boston Terrier,7,6,Tan,Female,boston terrier,21.0,21.625,0.0,1,small,adult
Havanese,13,53,Red,Female,havanese,24.0,23.75,0.0,1,giant,senior
Australian Shepherd,9,35,Black and White,Male,australian shepherd,12.0,16.0,0.0,0,large,senior
Airedale Terrier,13,39,Cream,Female,airedale terrier,62.0,57.375,0.0,1,large,senior
Cocker Spaniel,4,38,Gray,Male,cocker spaniel,30.0,29.375,0.0,0,large,adult
Akita,14,52,Brindle,Female,akita,48.0,46.5,0.0,1,giant,senior
Bichon Frise,8,53,Brindle,Male,bichon frise,45.0,44.125,0.0,0,giant,senior
Samoyed,4,15,Brown,Male,samoyed,56.0,61.5,0.0,0,medium,adult
Akita,4,11,Tan,Female,akita,48.0,46.5,0.0,1,medium,adult
Doberman Pinscher,6,10,Black and White,Female,doberman pinscher,18.0,15.625,0.0,1,small,adult
Havanese,6,47,Blue,Female,havanese,24.0,23.75,0.0,1,giant,adult
Bichon Frise,14,11,Brindle,Male,bichon frise,45.0,44.125,0.0,0,medium,senior
Shih Tzu,5,46,Merle,Male,shih tzu,20.0,18.875,0.0,0,giant,adult
Lhasa Apso,9,43,Tan,Male,apso lhasa,78.0,71.375,0.0,0,large,senior
Havanese,11,10,Bicolor,Female,havanese,24.0,23.75,0.0,1,small,senior
Cavalier King Charles Spaniel,10,35,Gray,Female,cavalier charle king spaniel,17.0,18.0,0.0,1,large,senior
Poodle,3,13,Spotted,Male,poodle,6.0,7.0,0.0,0,medium,adult
Bull Terrier,14,22,Merle,Male,bull terrier,64.0,58.125,0.0,0,medium,senior
Chesapeake Bay Retriever,12,27,Cream,Male,bay chesapeake retriever,50.0,44.125,0.0,0,large,senior
Rottweiler,14,8,Sable,Female,rottweiler,8.0,8.5,0.0,1,small,senior
Akita,9,20,Brown,Male,akita,48.0,46.5,0.0,0,medium,senior
Great Dane,6,43,Blue,Female,dane great,15.0,15.25,0.0,1,large,adult
Papillon,8,51,Sable,Female,papillon,53.0,49.375,0.0,1,giant,senior
German Shepherd,6,57,Spotted,Female,german shepherd,3.0,2.125,0.0,1,giant,adult
Bulldog,5,35,Black and White,Male,bulldog,5.0,4.625,0.0,0,large,adult
Shetland Sheepdog,5,11,Tricolor,Female,sheepdog shetland,27.0,23.75,0.0,1,medium,adult
Yorkshire Terrier,8,34,Brindle,Female,terrier yorkshire,13.0,9.0,0.0,1,large,senior
Whippet,9,27,Brindle,Female,whippet,59.0,58.875,0.0,1,large,senior
Chesapeake Bay Retriever,9,15,Blue,Male,bay chesapeake retriever,50.0,44.125,0.0,0,medium,senior
Saint Bernard,6,33,Bicolor,Male,bernard saint,,,,0,large,adult
Lhasa Apso,7,12,Merle,Female,apso lhasa,78.0,71.375,0.0,1,medium,adult
Saint Bernard,7,32,Merle,Male,bernard saint,,,,0,large,adult
Bernese Mountain Dog,4,53,Blue,Male,bernese mountain,22.0,26.5,0.0,0,giant,adult
Poodle,12,24,Sable,Female,poodle,6.0,7.0,0.0,1,medium,senior
German Shepherd,7,7,Red,Female,german shepherd,3.0,2.125,0.0,1,small,adult
Saint Bernard,1,56,White,Female,bernard saint,,,,1,giant,puppy
Rottweiler,12,12,Merle,Male,rottweiler,8.0,8.5,0.0,0,medium,senior
German Shepherd,6,17,Cream,Male,german shepherd,3.0,2.125,0.0,0,medium,adult
German Shepherd,7,56,Blue,Male,german shepherd,3.0,2.125,0.0,0,giant,adult
Rottweiler,10,24,Red,Female,rottweiler,8.0,8.5,0.0,1,medium,senior
Bernese Mountain Dog,6,56,Blue,Male,bernese mountain,22.0,26.5,0.0,0,giant,adult
Weimaraner,5,35,Brindle,Male,weimaraner,39.0,35.5,0.0,0,large,adult
Shih Tzu,12,35,Black and Tan,Male,shih tzu,20.0,18.875,0.0,0,large,senior
Airedale Terrier,12,32,Bicolor,Female,airedale terrier,62.0,57.375,0.0,1,large,senior
Whippet,4,20,Red,Male,whippet,59.0,58.875,0.0,0,medium,adult
Bichon Frise,1,52,Black,Female,bichon frise,45.0,44.125,0.0,1,giant,puppy
Shiba Inu,14,28,Blue,Male,inu shiba,43.0,44.875,0.0,0,large,senior
Alaskan Malamute,6,35,Spotted,Male,alaskan malamute,65.0,58.875,0.0,0,large,adult
Cocker Spaniel,2,24,Black and Tan,Female,cocker spaniel,30.0,29.375,0.0,1,medium,adult
Akita,6,13,Sable,Male,akita,48.0,46.5,0.0,0,medium,adult
Samoyed,12,18,Spotted,Male,samoyed,56.0,61.5,0.0,0,medium,senior
Weimaraner,2,43,Black and White,Male,weimaraner,39.0,35.5,0.0,0,large,adult
Pug,2,43,Blue,Male,pug,29.0,31.0,0.0,0,large,adult
Lhasa Apso,9,7,Black and White,Female,apso lhasa,78.0,71.375,0.0,1,small,senior
West Highland White Terrier,12,47,Bicolor,Female,highland terrier west white,44.0,41.0,0.0,1,giant,senior
Alaskan Malamute,8,56,Tan,Male,alaskan malamute,65.0,58.875,0.0,0,giant,senior
French Bulldog,10,9,Spotted,Female,bulldog french,2.0,5.75,0.0,1,small,senior
Yorkshire Terrier,12,43,Brown,Male,terrier yorkshire,13.0,9.0,0.0,0,large,senior
Cocker Spaniel,4,10,Black and Tan,Female,cocker spaniel,30.0,29.375,0.0,1,small,adult
Irish Setter,6,58,Black and White,Male,irish setter,75.0,74.625,0.0,0,giant,adult
Labrador Retriever,3,51,Sable,Female,labrador retriever,1.0,1.0,0.0,1,giant,adult
Papillon,7,55,Black and White,Female,papillon,53.0,49.375,0.0,1,giant,adult
Boston Terrier,13,38,Brindle,Male,boston terrier,21.0,21.625,0.0,0,large,senior
Shiba Inu,4,29,Red,Male,inu shiba,43.0,44.875,0.0,0,large,adult
Akita,14,49,Red,Male,akita,48.0,46.5,0.0,0,giant,senior
Alaskan Malamute,9,33,Cream,Female,alaskan malamute,65.0,58.875,0.0,1,large,senior
Poodle,14,26,Black,Female,poodle,6.0,7.0,0.0,1,large,senior
Shetland Sheepdog,5,49,Tan,Male,sheepdog shetland,27.0,23.75,0.0,0,giant,adult
Maltese,9,19,Black and Tan,Female,maltese,38.0,33.0,0.0,1,medium,senior
Golden Retriever,1,55,Brown,Female,golden retriever,4.0,3.125,0.0,1,giant,puppy
Rottweiler,9,57,Merle,Female,rottweiler,8.0,8.5,0.0,1,giant,senior
Airedale Terrier,11,9,Sable,Male,airedale terrier,62.0,57.375,0.0,0,small,senior
Pembroke Welsh Corgi,5,46,Black and White,Male,corgi pembroke welsh,11.0,16.625,0.0,0,giant,adult
Chinese Shar-Pei,1,22,Gray,Male,chinese pei shar,61.0,60.875,0.0,0,medium,puppy
Great Dane,6,20,Spotted,Male,dane great,15.0,15.25,0.0,0,medium,adult
Schnauzer,6,30,Brindle,Female,schnauzer,,,,1,large,adult
German Shepherd,3,41,Spotted,Female,german shepherd,3.0,2.125,0.0,1,large,adult
Pug,5,17,Merle,Female,pug,29.0,31.0,0.0,1,medium,adult
Whippet,14,43,White,Male,whippet,59.0,58.875,0.0,0,large,senior
Miniature Schnauzer,9,34,Merle,Male,miniature schnauzer,19.0,17.5,0.0,0,large,senior
Chihuahua,9,35,White,Female,chihuahua,34.0,29.75,0.0,1,large,senior
Shetland Sheepdog,12,39,Black,Female,sheepdog shetland,27.0,23.75,0.0,1,large,senior
Jack Russell Terrier,5,24,Tricolor,Female,jack russell terrier,,,,1,medium,adult
Jack Russell Terrier,14,47,Sable,Female,jack russell terrier,,,,1,giant,senior
Poodle,2,24,Gray,Male,poodle,6.0,7.0,0.0,0,medium,adult
Chesapeake Bay Retriever,9,36,Gray,Female,bay chesapeake retriever,50.0,44.125,0.0,1,large,senior
West Highland White Terrier,9,46,Spotted,Female,highland terrier west white,44.0,41.0,0.0,1,giant,senior
Golden Retriever,9,41,Black,Male,golden retriever,4.0,3.125,0.0,0,large,senior
Bichon Frise,12,46,Brown,Male,bichon frise,45.0,44.125,0.0,0,giant,senior
Basenji,14,16,Bicolor,Female,basenji,86.0,86.375,0.0,1,medium,senior
Cocker Spaniel,4,12,Tan,Female,cocker spaniel,30.0,29.375,0.0,1,medium,adult
Australian Shepherd,4,10,Black,Female,australian shepherd,12.0,16.0,0.0,1,small,adult
Rottweiler,13,18,Blue,Female,rottweiler,8.0,8.5,0.0,1,medium,senior
Airedale Terrier,3,39,Bicolor,Male,airedale terrier,62.0,57.375,0.0,0,large,adult
Pekingese,13,51,Brown,Female,pekingese,95.0,86.375,0.0,1,giant,senior
Saint Bernard,11,37,Sable,Male,bernard saint,,,,0,large,senior
Chesapeake Bay Retriever,10,37,Blue,Male,bay chesapeake retriever,50.0,44.125,0.0,0,large,senior
Lhasa Apso,13,33,Spotted,Male,apso lhasa,78.0,71.375,0.0,0,large,senior
Rottweiler,6,17,Blue,Female,rottweiler,8.0,8.5,0.0,1,medium,adult
Pug,8,34,Brindle,Male,pug,29.0,31.0,0.0,0,large,senior
Maltese,14,56,Spotted,Female,maltese,38.0,33.0,0.0,1,giant,senior
Poodle,6,15,Black and White,Male,poodle,6.0,7.0,0.0,0,medium,adult
Chinese Shar-Pei,14,47,Merle,Male,chinese pei shar,61.0,60.875,0.0,0,giant,senior
West Highland White Terrier,9,14,Brown,Male,highland terrier west white,44.0,41.0,0.0,0,medium,senior
Cocker Spaniel,8,56,Bicolor,Male,cocker spaniel,30.0,29.375,0.0,0,giant,senior
Doberman Pinscher,10,54,Sable,Female,doberman pinscher,18.0,15.625,0.0,1,giant,senior
Samoyed,1,24,Cream,Female,samoyed,56.0,61.5,0.0,1,medium,puppy
Shiba Inu,3,27,Black,Male,inu shiba,43.0,44.875,0.0,0,large,adult
Pomeranian,8,28,Spotted,Male,pomeranian,23.0,21.75,0.0,0,large,senior
Chesapeake Bay Retriever,4,35,Gray,Female,bay chesapeake retriever,50.0,44.125,0.0,1,large,adult
Bloodhound,11,57,Cream,Female,bloodhound,46.0,49.375,0.0,1,giant,senior
Boxer,13,18,Black and White,Female,boxer,14.0,10.625,0.0,1,medium,senior
Poodle,6,55,Sable,Male,poodle,6.0,7.0,0.0,0,giant,adult
Siberian Husky,2,36,Brindle,Female,husky siberian,16.0,13.5,0.0,1,large,adult
West Highland White Terrier,6,21,Spotted,Female,highland terrier west white,44.0,41.0,0.0,1,medium,adult
Pug,2,23,Spotted,Male,pug,29.0,31.0,0.0,0,medium,adult
Doberman Pinscher,2,6,Red,Female,doberman pinscher,18.0,15.625,0.0,1,small,adult
Bulldog,3,20,Cream,Male,bulldog,5.0,4.625,0.0,0,medium,adult
Bernese Mountain Dog,5,37,Blue,Male,bernese mountain,22.0,26.5,0.0,0,large,adult
Chihuahua,4,19,White,Female,chihuahua,34.0,29.75,0.0,1,medium,adult
Samoyed,2,14,Black,Male,samoyed,56.0,61.5,0.0,0,medium,adult
Dogo Argentino,12,11,Merle,Male,argentino dogo,93.0,93.0,0.875,0,medium,senior
Doberman Pinscher,10,56,Black and Tan,Female,doberman pinscher,18.0,15.625,0.0,1,giant,senior
Pekingese,2,52,Sable,Female,pekingese,95.0,86.375,0.0,1,giant,adult
Beagle,3,8,Blue,Female,beagle,7.0,5.625,0.0,1,small,adult
Great Dane,9,11,Gray,Female,dane great,15.0,15.25,0.0,1,medium,senior
Dachshund,2,59,Black and Tan,Female,dachshund,10.0,11.625,0.0,1,giant,adult
Poodle,8,20,Gray,Female,poodle,6.0,7.0,0.0,1,medium,senior
Weimaraner,9,34,Brindle,Male,weimaraner,39.0,35.5,0.0,0,large,senior
Weimaraner,3,26,Bicolor,Female,weimaraner,39.0,35.5,0.0,1,large,adult
Boston Terrier,10,56,Black and Tan,Male,boston terrier,21.0,21.625,0.0,0,giant,senior
Whippet,7,15,Black and Tan,Female,whippet,59.0,58.875,0.0,1,medium,adult
Whippet,6,18,Gray,Male,whippet,59.0,58.875,0.0,0,medium,adult
Pomeranian,13,32,White,Male,pomeranian,23.0,21.75,0.0,0,large,senior
Dogo Argentino,2,31,Spotted,Male,argentino dogo,93.0,93.0,0.875,0,large,adult
Dachshund,10,31,Tan,Male,dachshund,10.0,11.625,0.0,0,large,senior
Alaskan Malamute,7,46,Brindle,Female,alaskan malamute,65.0,58.875,0.0,1,giant,adult
Cavalier King Charles Spaniel,13,9,Bicolor,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,small,senior
Chihuahua,13,34,Tan,Female,chihuahua,34.0,29.75,0.0,1,large,senior
Chinese Shar-Pei,10,53,Red,Female,chinese pei shar,61.0,60.875,0.0,1,giant,senior
Lhasa Apso,12,33,Black and Tan,Female,apso lhasa,78.0,71.375,0.0,1,large,senior
German Shepherd,3,20,Blue,Female,german shepherd,3.0,2.125,0.0,1,medium,adult
Basenji,6,51,Merle,Male,basenji,86.0,86.375,0.0,0,giant,adult
